Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1790,,,,,,,2.30%,21.60%,,,35.90%,,,,,,,17.00%,,0.60%,34.70%,1.40%,,,,,,,,0.60%,7.70%,,7.60%,26.80%,,,,,,2.40%,6.30%,43.70%,,10.60%,,,0.30%,43.40%,,9.50%,,
1800,41.40%,,,,,,2.50%,22.40%,30.40%,,37.10%,,,7.40%,4.40%,,,18.60%,,0.50%,36.70%,1.50%,3.70%,,41.50%,,,,,0.50%,8.00%,,5.30%,29.40%,,,0.50%,,,2.70%,5.30%,43.20%,,13.20%,,,0.40%,44.60%,,9.80%,,
1810,29.00%,,,13.00%,,,2.60%,23.80%,33.10%,,42.50%,,,6.40%,2.60%,,,20.20%,55.20%,0.40%,38.20%,1.40%,3.00%,,47.00%,17.60%,,,,0.50%,7.60%,,4.20%,32.20%,,,0.80%,,,2.90%,4.80%,48.40%,,17.50%,,,0.30%,47.10%,,11.50%,,
1820,33.20%,,,11.70%,,,2.90%,24.00%,31.20%,,44.40%,,,2.50%,1.00%,,,22.90%,51.80%,0.30%,36.10%,1.30%,2.10%,,44.10%,15.90%,,,,0.30%,7.20%,,2.90%,34.40%,,,0.80%,,,2.90%,4.30%,52.80%,,19.60%,,,0.40%,47.80%,,12.10%,1.20%,
1830,38.50%,,,15.50%,,,2.70%,24.90%,30.10%,47.10%,42.60%,,,1.50%,1.10%,,,24.70%,58.50%,0.30%,34.90%,1.20%,0.80%,,48.40%,18.30%,,,,0.20%,6.40%,,2.30%,35.90%,,,1.00%,,,2.80%,3.70%,55.60%,,21.40%,,,0.30%,47.90%,,11.20%,1.80%,
1840,43.30%,,,20.90%,,,2.60%,25.00%,29.10%,48.70%,41.00%,,,0.80%,1.00%,0.40%,,24.30%,55.00%,0.30%,32.30%,1.20%,0.30%,,52.30%,15.60%,,,,0.20%,5.80%,,2.10%,35.60%,,,1.10%,,,2.80%,3.00%,56.40%,,22.70%,,,0.30%,46.90%,,9.60%,0.60%,
1850,44.70%,,,22.70%,1.00%,,2.10%,22.20%,26.60%,46.00%,42.40%,,,0.60%,1.10%,0.20%,,22.50%,50.70%,0.20%,28.30%,0.90%,0.60%,0.60%,51.20%,13.20%,,,,0.20%,4.90%,0.00%,1.60%,36.40%,,,1.30%,,0.50%,2.30%,2.50%,58.90%,,24.50%,27.50%,0.40%,0.20%,45.00%,12.70%,7.80%,0.20%,
1860,45.40%,,0.30%,25.60%,1.10%,0.10%,1.90%,19.30%,19.10%,44.60%,44.00%,,,0.40%,0.80%,0.20%,0.60%,20.40%,49.50%,0.20%,24.90%,0.80%,0.90%,0.20%,55.30%,10.00%,,0.30%,0.70%,0.20%,3.80%,0.10%,1.30%,36.40%,,,1.60%,,0.20%,2.00%,2.30%,58.60%,0.00%,25.50%,30.30%,0.10%,0.20%,43.30%,0.30%,5.60%,0.20%,
1870,47.70%,,0.30%,25.20%,0.80%,1.10%,1.80%,18.20%,33.00%,48.80%,46.00%,,0.40%,1.10%,1.50%,0.50%,4.70%,16.80%,50.10%,0.30%,22.50%,1.00%,1.00%,0.20%,53.70%,6.90%,0.90%,0.60%,0.80%,0.20%,3.40%,0.20%,1.20%,36.60%,1.00%,,2.40%,,0.40%,1.90%,2.30%,58.90%,0.60%,25.60%,31.00%,0.10%,0.30%,41.90%,0.90%,4.10%,0.20%,2.00%
1880,47.50%,,0.40%,26.30%,0.70%,1.30%,1.90%,18.00%,33.60%,47.00%,47.00%,,0.20%,1.50%,2.00%,0.60%,4.30%,16.50%,51.50%,0.20%,22.50%,1.00%,0.90%,0.20%,57.50%,6.70%,0.90%,0.50%,0.80%,0.20%,3.40%,0.80%,1.30%,38.00%,0.30%,,2.50%,,0.30%,2.00%,2.30%,60.70%,0.30%,26.10%,24.70%,0.20%,0.30%,41.80%,0.40%,4.20%,0.20%,1.40%
