State/Territory,Year,Population Percentage
AL,1790,
AL,1800,41.40%
AL,1810,29.00%
AL,1820,33.20%
AL,1830,38.50%
AL,1840,43.30%
AL,1850,44.70%
AL,1860,45.40%
AL,1870,47.70%
AL,1880,47.50%
AL,1890,44.80%
AL,1900,45.20%
AL,1910,42.50%
AL,1920,38.40%
AL,1930,35.70%
AL,1940,34.70%
AL,1950,32.00%
AL,1960,30.00%
AL,1970,26.20%
AL,1980,25.60%
AL,1990,25.30%
AL,2000,26.00%
AL,2010,26.20%
AL,2018,26.80%
AK,1790,
AK,1800,
AK,1810,
AK,1820,
AK,1830,
AK,1840,
AK,1850,
AK,1860,
AK,1870,
AK,1880,
AK,1890,
AK,1900,0.30%
AK,1910,0.30%
AK,1920,0.20%
AK,1930,0.20%
AK,1940,0.20%
AK,1950,
AK,1960,3.00%
AK,1970,3.00%
AK,1980,3.40%
AK,1990,4.10%
AK,2000,3.50%
AK,2010,3.30%
AK,2018,3.80%
American Samoa,1790,
American Samoa,1800,
American Samoa,1810,
American Samoa,1820,
American Samoa,1830,
American Samoa,1840,
American Samoa,1850,
American Samoa,1860,
American Samoa,1870,
American Samoa,1880,
American Samoa,1890,
American Samoa,1900,
American Samoa,1910,
American Samoa,1920,
American Samoa,1930,
American Samoa,1940,
American Samoa,1950,
American Samoa,1960,
American Samoa,1970,
American Samoa,1980,
American Samoa,1990,0.02%
American Samoa,2000,0.04%
American Samoa,2010,0.02%
American Samoa,2018,
AZ,1790,
AZ,1800,
AZ,1810,
AZ,1820,
AZ,1830,
AZ,1840,
AZ,1850,
AZ,1860,0.30%
AZ,1870,0.30%
AZ,1880,0.40%
AZ,1890,1.50%
AZ,1900,1.50%
AZ,1910,1.00%
AZ,1920,2.40%
AZ,1930,2.50%
AZ,1940,3.00%
AZ,1950,3.50%
AZ,1960,3.30%
AZ,1970,3.00%
AZ,1980,2.80%
AZ,1990,3.00%
AZ,2000,3.10%
AZ,2010,4.10%
AZ,2018,5.10%
AR,1790,
AR,1800,
AR,1810,13.00%
AR,1820,11.70%
AR,1830,15.50%
AR,1840,20.90%
AR,1850,22.70%
AR,1860,25.60%
AR,1870,25.20%
AR,1880,26.30%
AR,1890,27.40%
AR,1900,28.00%
AR,1910,28.10%
AR,1920,27.00%
AR,1930,25.80%
AR,1940,24.80%
AR,1950,22.30%
AR,1960,21.80%
AR,1970,18.30%
AR,1980,16.30%
AR,1990,15.90%
AR,2000,15.70%
AR,2010,15.40%
AR,2018,15.70%
CA,1790,
CA,1800,
CA,1810,
CA,1820,
CA,1830,
CA,1840,
CA,1850,1.00%
CA,1860,1.10%
CA,1870,0.80%
CA,1880,0.70%
CA,1890,0.90%
CA,1900,0.70%
CA,1910,0.90%
CA,1920,1.10%
CA,1930,1.40%
CA,1940,1.80%
CA,1950,4.40%
CA,1960,5.60%
CA,1970,7.00%
CA,1980,7.70%
CA,1990,7.40%
CA,2000,6.70%
CA,2010,6.20%
CA,2018,6.50%
CA,2030,9.11%
CA,2040,9.94%
CA,2050,10.81%
CO,1790,
CO,1800,
CO,1810,
CO,1820,
CO,1830,
CO,1840,
CO,1850,
CO,1860,0.10%
CO,1870,1.10%
CO,1880,1.30%
CO,1890,1.50%
CO,1900,1.60%
CO,1910,1.40%
CO,1920,1.20%
CO,1930,1.10%
CO,1940,1.10%
CO,1950,1.50%
CO,1960,2.30%
CO,1970,3.00%
CO,1980,3.50%
