ingredient,calories,carbs,fiber,sugar,protein,total fat,trans fats,saturated fats,sodium,cholesterol,CO2 Emission
5 ounces blackberries,60,13.6219458615625,7.512623628125,6.9172836425,1.9702918571875,0.6945633165625,0.0,0.0198446661875,1.41747615625,0.0,B
4 cups 1/2-inch cubes peeled seeded butternut squash,252,65.52,11.2,12.320000000000002,5.6000000000000005,0.56,0.0,0.1176,22.4,0.0,B
Whole fresh chives,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"1 3/4 cups toasted, salted pecan pieces",1197,24.08175,16.631999999999998,6.878025,15.887025,124.74,0.0,10.70685,0.0,0.0,A+
2 cups canola oil,3854,0.0,0.0,0.0,0.0,436.00000000000006,1.7222000000000002,32.089600000000004,0.0,0.0,C
"2 heads of Bibb lettuce, cored, leaves separated",42,7.2698,3.5860000000000007,3.0644,4.401000000000001,0.7172000000000001,0.0,0.09454,16.3,0.0,B
"2 baby bok choy, each cut lengthwise into eighths",24,4.909599999999994,1.8239999999999976,2.1431999999999976,1.8239999999999976,0.3039999999999996,0.0,0.0653599999999999,13.679999999999984,0.0,A
"6 tablespoons unsalted butter, melted and still warm",610,0.0511199999999999,0.0,0.0511199999999999,0.7241999999999998,69.09719999999999,0.0,43.026,9.371999999999998,183.18,D
1 tablespoon plus 1/4 cup sugar,241,62.5,0.0,62.375,0.0,0.0,0.0,0.0,0.625,0.0,B
"2 fresh jalapeño chiles, stemmed and quartered, including seeds",8,1.8200000000000005,0.784,1.1536000000000002,0.2548,0.1036,0.0,0.02576,0.8400000000000001,0.0,A
"1 red chile, deseeded and diced",18,3.9645,0.675,2.385,0.8415,0.198,0.0,0.0189,4.05,0.0,A
"8 innermost green cabbage leaves, ribs removed, leaves cut into quarters",30,6.96,3.0,3.84,1.536,0.12,0.0,0.0408,21.6,0.0,A
Ice cream maker,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4 tablespoons kosher salt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22600.99999961789,0.0,A+
12 ounces thin ramen noodles or spaghettini,1496,205.1371493325,9.8656340475,6.7358466945,34.699816305,59.874192840000006,0.221126280375,27.623775333,6327.6135615,0.0,G
"1/2 cup dried apricots , roughly chopped",156,40.690000000000005,4.745,34.71,2.2035,0.3315,0.0,0.01105,6.5,0.0,B
3 tablespoons coarse sparkling sugar or turbinado sugar,151,37.79924999936093,0.0,37.57199999936477,0.0,0.0,0.0,0.0,1.1362499999807891,0.0,A
Barbecue Rub #67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 1/3 cups fresh lemon juice ,71,22.448,0.976,8.1984,1.1386666666666667,0.7807999999999999,0.0,0.1301333333333333,3.2533333333333334,0.0,A
2 cups bean sprouts ,62,12.355200000000002,3.744,8.5904,6.3232,0.3744,0.0,0.09568,12.48,0.0,A
Handful of sliced scallions ,4,0.9175,0.325,0.29125,0.22875,0.02375,0.0,0.004,2.0,0.0,A+
260 g honey,790,214.24,0.52,213.46,0.78,0.0,0.0,0.0,10.4,0.0,C
1 can fire-roasted tomatoes with green chiles,54,11.98875,4.430625000000001,0.0,1.8765000000000005,0.7036875000000002,0.0,0.072975,1034.6812500000003,0.0,C
"3 tablespoons extra-virgin olive oil, divided",358,0.0,0.0,0.0,0.0,40.5,0.0,5.589,0.81,0.0,B
"2 bay leaves, torn in half",3,0.9,0.3156,0.0,0.09132,0.1003199999999999,0.0,0.02736,0.276,0.0,A+
"""1 1/3 cups Frenchs® Crispy Fried Onions",781,92.39466666822878,5.45280000009219,0.0,9.542400000161331,42.71360000072215,0.0,13.722880000232012,745.2160000125994,0.0,A
1/4 cup vinegar,10,0.0237999999999999,0.0,0.0237999999999999,0.0,0.0,0.0,0.0,1.19,0.0,B
2 tsp five-spice powder,9,2.7398,0.8208000000000001,0.0,0.23142,0.3302199999999999,0.0,0.0968999999999999,2.9259999999999997,0.0,A+
1 cup sliced celery,14,2.9997000000000003,1.616,1.3534000000000002,0.6969,0.1717,0.0,0.04242,80.8,0.0,A
10 g dried porcini ,29,7.540000000000001,1.15,0.221,0.958,0.099,0.0,0.0225,1.3,0.0,A+
"1/4 cup finely chopped chives, plus more for garnish",3,0.5219999999999999,0.3,0.222,0.3923999999999999,0.0876,0.0,0.0175199999999999,0.36,0.0,A+
5 oz. thinly sliced Italian Fontina,551,2.1970880421875,0.0,2.1970880421875,36.2873896,44.08350845937501,0.0,27.2155422,1133.980925,164.427234125,E
1/2 cup fresh blackberries,30,6.919199999999999,3.816,3.5136,1.0008,0.3528,0.0,0.01008,0.72,0.0,A
1 1/2 cups grated Cheddar or Monterey Jack cheese,738,1.3464,0.0,0.99,48.51,59.994,0.0,37.818000000000005,1188.0,176.22,E
1/2 teasoon ground cinnamon,3,1.0478,0.6903,0.02821,0.05187,0.01612,0.0,0.004485,0.13,0.0,A+
1 small bunch arugula,42,6.18675,2.712,3.47475,4.3731,1.1187,0.0,0.1457699999999999,45.765,0.0,A
1 1/2 tablespoons fine dry bread crumbs,39,7.289999999876748,0.4556249999922968,0.6277499999893866,1.3567499999770616,0.5366249999909273,0.0,0.1214999999979457,74.11499999874694,0.0,A+
"6 large plum tomatoes , halved lengthwise",83,18.088500000000003,5.58,12.2295,4.0920000000000005,0.9300000000000002,0.0,0.1302,23.25,0.0,D
1/3 cup 1-inch pieces fresh chives,0,0.0289999999999999,0.0166666666666666,0.0123333333333333,0.0218,0.0048666666666666,0.0,0.0009733333333333,0.0199999999999999,0.0,A+
"4 shallots, sliced",170,39.72266666666667,7.566222222222223,18.60817777777778,5.911111111111111,0.2364444444444444,0.0,0.0401955555555555,28.373333333333335,0.0,A
5 tablespoons finely chopped red onion,20,4.67,0.85,2.12,0.55,0.05,0.0,0.021,2.0,0.0,A+
an electric coffee/spice grinder; a pastry or bench scraper,258,21.197000000000003,0.7050000000000001,0.3478,3.431,17.907,0.0,4.5308,117.03,0.0,A
"2/3 cup slivered almonds, toasted",416,15.552,9.0,3.1319999999999997,15.264,35.928,0.0107999999999999,2.736,0.72,0.0,A+
2 teaspoons crumbled dried oregano,5,1.378,0.85,0.0818,0.18,0.0856,0.0,0.031,0.5,0.0,A+
2 cups blanched almond flour,1311,42.6496,23.184,7.7280000000000015,50.10880000000001,111.9104,0.0,7.7280000000000015,4.009600000000001,0.0,A+
1 1/2 cups purchased caramel sauce,1062,280.44,0.0,280.44,5.9532,0.0,0.0,0.0,1677.72,0.0,D
5 cups arugula ,25,3.65,1.6,2.05,2.58,0.66,0.0,0.086,27.0,0.0,A
"2 tablespoons macadamia oil, or other nut oil, or extra-virgin olive oil",238,0.0,0.0,0.0,0.0,27.0,0.0,3.726,0.54,0.0,B
Grated zest of 1 lemon ,24,7.8288,2.352,2.1,0.924,0.252,0.0,0.03276,1.68,0.0,A+
"2 rhubarb stalks, thinly sliced on the diagonal",21,4.6308,1.836,1.122,0.918,0.204,0.0,0.05406,4.08,0.0,A
"1/2 cup unsalted butter, softened, divided",813,0.0681,0.0,0.0681,0.96475,92.0485,0.0,57.3175,12.485,244.025,E
2 tablespoons grappa,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,A
"1 large onion, halved lengthwise, then cut lengthwise into 1/4-inch-thick slices ",60,14.01,2.55,6.36,1.65,0.15,0.0,0.063,6.0,0.0,A
"1 cup basil, fresh, roughly chopped",5,0.636,0.384,0.072,0.756,0.1536,0.0,0.00984,0.96,0.0,A+
"1 1/2 cups butter, room temperature",2441,0.2043,0.0,0.2043,2.89425,276.1455,0.0,171.9525,37.455000000000005,732.075,E
1 cup pomegranate juice,134,32.619,0.249,31.374,0.3735,0.7221,0.0,0.19173,22.410000000000004,0.0,B
"2 tablespoons plus 1 teaspoon toasted sesame oil, divided",280,0.0,0.0,0.0,0.0,31.700000000000003,0.0,4.5014,0.0,0.0,A
"1 chicken, cut into 8 pieces, skin removed",2580,0.0,0.0,0.0,223.2,181.2,1.164,51.72,840.0,900.0,F
"1 medium-size white onion, thickly sliced",44,10.274,1.87,4.664000000000001,1.2100000000000002,0.11,0.0,0.0462,4.4,0.0,A
"2 small red onions, cut into 3/4-inch-thick rounds",56,13.076,2.3800000000000003,5.936000000000001,1.5400000000000005,0.14,0.0,0.0588,5.6000000000000005,0.0,A
1/4 teaspoon coarse kosher or sea salt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.85416669054894,0.0,A+
1/4 cup grated peeled fresh ginger with juices,19,4.272,0.48,0.408,0.4368,0.18,0.0,0.04872,3.12,0.0,A+
"8 mackerel fillets, skin on",1836,0.0,0.0,0.0,166.65600000000003,124.544,0.0,29.2096,806.4000000000001,627.2,F
a 2- to 2 1/2-quart bowl ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"4 sprigs thyme, plus leaves for serving",12,2.928,1.68,0.0,0.6671999999999999,0.2015999999999999,0.0,0.05604,1.08,0.0,A+
"1 can cannellini beans or chickpeas, rinsed and drained",560,104.145,23.58,1.424625,35.664750000000005,1.424625,0.0,0.363525,1670.2500000000002,0.0,B
1 tablespoon raw or brown sugar,34,8.890312499849692,0.0,8.790624999851378,0.0108749999998161,0.0,0.0,0.0,2.5374999999570984,0.0,A+
"2 teaspoons minced fresh Serrano chile, or to taste",1,0.2931250000148676,0.1618750000082104,0.1675625000084989,0.0761250000038611,0.0192500000009763,0.0,0.0025812500001309,0.4375000000221904,0.0,A+
1 red pepper,30,7.1757,2.499,4.998,1.1781,0.357,0.0,0.07021,4.76,0.0,B
"""2 dashes Peychauds bitters"", 1 ounce rye whiskey",2,0.001158333332922,0.0,0.001158333332922,0.0,0.0,0.0,0.0,0.0,0.0,A+
pecans,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 tablespoon finely grated peeled fresh ginger,4,1.068,0.12,0.102,0.1092,0.045,0.0,0.01218,0.78,0.0,A+
"1 3/4 cups plus 2 tbsp all-purpose flour, plus extra for pressing",853,178.828125,6.328125,0.6328125000000001,24.140625,2.296875,0.0,0.36328125,4.6875,0.0,B
"4 chunks watermelon , cut from the rind,",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
